id,source_file,category,line_no,text
38,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,38,Bailout(구제금융): 파산 위기에 처한 기업이나 국가에 정부나 국제기구가 긴급 자금을 지원하는 것
39,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,39,"Balance of Payments(BOP, 국제수지): 한 나라가 일정 기간 외국과 행한 모든 경제적 거래를 체계적으로 기록한 통계"
40,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,40,"Balance Sheet(대차대조표/재무상태표): 특정 시점의 기업 자산, 부채, 자본의 상태를 보여주는 재무 보고서"
41,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,41,Bandwagon Effect(밴드왜건 효과/편승 효과): 특정 상품이 유행하면 대중이 따라 사는 동조 소비 심리
42,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,42,Bank Holding Company(은행 지주회사): 다른 은행이나 금융 회사의 주식을 소유하여 지배하고 관리하는 것을 주된 사업으로 하는 회사
43,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,43,Bank Rate(재할인율/은행 이자율): 시중 은행이 중앙은행으로부터 자금을 빌릴 때 적용받는 이자율
44,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,44,Bank Run(뱅크런/대규모 예금 인출): 은행의 파산을 우려한 예금자들이 한꺼번에 몰려 예금을 인출하는 사태
45,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,45,Bankruptcy(파산): 빚을 갚을 능력을 완전히 상실하여 법원을 통해 채무를 정리하는 법적 절차
46,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,46,Barter(물물교환): 화폐를 매개로 하지 않고 재화나 서비스를 직접 교환하는 원시적 거래 형태
47,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,47,Base Effect(기저효과): 비교 대상이 되는 과거의 수치가 너무 낮거나 높아서 현재의 경제 지표가 실제보다 왜곡되어 보이는 현상
48,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,48,Base Rate(기준금리): 한 나라의 중앙은행이 통화정책의 기준으로 정하는 정책 금리
49,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,49,Basel III(바젤 III): 글로벌 금융 위기 이후 은행의 건전성과 자본 보유 기준을 강화한 국제 금융 규제
50,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,50,Basis Point(bp / 베이시스 포인트): 이자율이나 수익률의 미세한 변동을 나타내는 단위 (1bp = 0.01%)
51,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,51,Bear Market(약세장): 주가나 자산 가격이 장기간 하락하는 시장
52,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,52,Bear Trap(베어 트랩/약세장 함정): 주가가 계속 하락할 것처럼 보였으나 갑자기 급반등하여 매도 포지션을 취한 투자자에게 손실을 입히는 속임수
53,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,53,Behavioral Economics(행동경제학): 인간이 늘 합리적인 것은 아니라는 전제하에 심리학을 바탕으로 경제적 선택을 연구하는 학문
54,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,54,Benchmark Interest Rate(지표금리): 금융 시장에서 다른 금리들을 결정할 때 기준이 되는 대표적인 이자율
55,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,55,"Benchmark(벤치마크): 펀드 수익률 등을 평가할 때 기준이 되는 지표 (예:코스피 지수, S&P500)"
56,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,56,"BEP(Break-even Point, 손익분기점): 총수익과 총비용이 같아져 이익도 손실도 발생하지 않는 지점"
57,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,57,Beta(베타): 시장 전체의 변동에 대해 특정 주식이나 펀드가 얼마나 민감하게 움직이는지를 나타내는 지수
58,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,58,Bid-Ask Spread(매수-매도 호가 차이): 금융 시장에서 구매자가 살 용의가 있는 최고 가격과 판매자가 팔 용의가 있는 최저 가격 사이의 격차
59,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,59,"Big Blur(빅블러): 기술 발전에 따라 금융, 유통, IT 등 산업 간의 경계가 모호하게 흐려지는 현상"
60,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,60,Big Mac Index(빅맥지수): 맥도날드 빅맥 가격을 기준으로 각국 통화의 구매력과 환율 수준을 비교하는 지표
61,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,61,Bio-similar(바이오시밀러): 특허가 만료된 기존 오리지널 바이오 의약품과 효능이 유사한 복제약
62,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,62,Bitcoin(비트코인): 블록체인 기술을 기반으로 중앙은행 없이 발행되고 거래되는 최초의 암호화폐
63,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,63,Black Market(암시장): 국가의 통제를 벗어나 세금이 부과되지 않고 불법적으로 거래가 이루어지는 시장
64,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,64,"Black Monday(블랙 먼데이): 1987년 10월 19일 월요일, 뉴욕 증시가 하루 만에 22.6% 대폭락했던 사건"
65,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,65,"Black Swan(블랙 스완): 도저히 일어날 것 같지 않지만, 일단 발생하면 엄청난 경제적 파급력을 주는 사건"
66,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,66,Blockchain(블록체인): 거래 내역을 '블록'으로 묶어 수많은 컴퓨터에 분산 저장하는 위조 방지 기술
67,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,67,Block Trade(블록 딜/대량 매매): 기관 투자자 등이 주식시장의 가격 급등락을 막기 위해 장 시작 전이나 마감 후에 대규모의 주식을 한 번에 거래하는 방식
68,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,68,Blue Chip(블루칩): 재무구조가 건전하고 장기간 안정적인 수익을 내는 대형 우량주
69,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,69,Blue Ocean(블루오션): 아직 경쟁자가 없어 고수익을 올릴 수 있는 새로운 유망 시장
70,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,70,Bond Yield(채권 수익률): 투자자가 채권을 만기까지 보유했을 때 얻게 되는 연평균 실질 투자 수익률
71,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,71,"Bond(채권): 정부, 공공기관, 기업이 자금을 빌리기 위해 원금과 이자의 지급을 약속하고 발행하는 차용증"
72,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,72,Bonus Issue(무상증자): 기업이 이익잉여금을 자본금으로 전입하면서 주주들에게 공짜로 주식을 나누어 주는 것
73,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,73,"Book Value(장부가치): 회계 장부에 기록되어 있는 자산, 부채, 자본의 가치로 시장가치와 다를 수 있음"
74,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,74,Bootstrapping(부트스트래핑): 외부의 투자 없이 창업자의 초기 자본과 자체 매출만으로 회사를 키우는 방식
75,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,75,Bottleneck(병목 현상): 생산 공정이나 유통 과정에서 특정 구간의 용량이 부족하여 전체의 흐름이 막히는 현상
76,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,76,"BPS(Book-value Per Share, 주당순자산가치): 기업이 활동을 중단하고 청산할 때 주주가 1주당 받을 수 있는 금액"
77,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,77,"Broad Money(M2, 광의통화): 현금과 결제성 예금(M1)뿐만 아니라 만기 2년 미만의 정기 예적금 등 약간의 이자만 포기하면 바로 현금화할 수 있는 통화량"
78,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,78,Brokerage(브로커리지/위탁매매): 증권사가 고객의 주문을 받아 주식이나 채권을 대신 사고팔아 주고 그 대가로 수수료를 챙기는 업무
79,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,79,Bubble(거품): 특정 자산의 시장 가격이 내재 가치보다 비정상적으로 높게 부풀려진 상태
80,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,80,Budget Deficit(재정 적자): 정부가 거둬들인 세입보다 지출한 세출이 더 많아 발생한 부족분
81,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,81,Bull Market(강세장): 주가나 자산 가격이 장기간 상승하는 시장
82,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,82,Bull Trap(불 트랩/강세장 함정): 주가가 반등하며 계속 상승할 것처럼 보였으나 다시 급락하여 매수 포지션을 취한 투자자에게 손실을 입히는 속임수
83,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,83,"Business Cycle(경기 순환): 경제 활동이 호황, 후퇴, 불황, 회복의 4단계를 반복하며 주기적으로 변동하는 현상"
84,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,84,Buyback(자사주 매입): 기업이 주가 안정이나 주주 가치 제고를 위해 회사 자금으로 자기 회사의 주식을 다시 사들이는 행위
85,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,85,Buyer's Market(매수자 우위 시장): 공급이 수요를 초과하여 물건을 사려는 구매자가 가격 협상에서 유리한 위치를 차지하는 시장
86,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,86,"C2C(Consumer to Consumer, 소비자 간 거래): 당근마켓처럼 소비자와 소비자 사이에서 직접 이루어지는 거래"
87,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,87,"CAGR(Compound Annual Growth Rate, 연평균 성장률): 여러 해 동안의 성장률을 매년 일정한 비율로 성장했다고 가정할 때의 평균치"
88,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,88,Call Money(콜머니): 금융 기관들끼리 일시적인 자금 부족을 해결하기 위해 초단기(보통 1일)로 빌려 쓰고 갚는 자금
89,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,89,Call Option(콜옵션): 미래의 특정 시점에 미리 정해진 가격으로 자산을 '살 수 있는 권리'
90,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,90,Cannibalization(카니발라이제이션/자기잠식): 자사의 신제품이 출시되어 기존 주력 제품의 매출이나 점유율을 깎아 먹는 현상
91,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,91,"CAPEX(Capital Expenditures, 설비투자): 기업이 미래 이윤 창출을 위해 공장, 기계, 장비 등에 지출하는 자본적 비용"
92,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,92,"Capital Account(자본수지): 한 국가가 외국과 주식, 채권, 차관 등 자본을 거래하여 발생한 유출입의 차액"
93,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,93,"Capital Adequacy Ratio(CAR, 자기자본비율): 은행의 위험가중자산 대비 자기자본의 비율로, 은행의 손실 대비 능력과 건전성을 측정하는 지표"
94,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,94,"Capital Asset Pricing Model(CAPM, 자본자산가격결정모형): 주식의 기대수익률은 시장 전체의 위험(베타)에 비례하여 결정된다는 재무학의 기본 모델"
95,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,95,Capital Control(자본 통제): 정부가 환율 방어나 경제 안정을 위해 외국 자본의 유입이나 유출을 제한하는 조치
96,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,96,"Capital Flight(자본 도피): 정치적, 경제적 위기를 우려하여 투자자들이 한 국가에서 대규모로 자금을 빼내어 해외로 유출하는 현상"
97,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,97,"Capital Gain(자본 이득/매매 차익): 주식, 부동산 등의 자산을 샀을 때보다 비싸게 팔아 얻는 수익"
98,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,98,"Capital Market(자본 시장): 주식, 만기 1년 이상의 장기 채권 등 기업과 정부의 장기 자금이 거래되는 금융 시장"
99,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,99,Capital Structure(자본 구조): 기업이 자산을 구성하기 위해 타인 자본(부채)과 자기 자본(주식)을 조달한 구성 비율
100,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,100,"Carbon Credit(탄소배출권): 기업이 일정량의 온실가스를 배출할 수 있는 권리로, 시장에서 사고팔 수 있음"
101,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,101,Carbon Tax(탄소세): 지구 온난화를 막기 위해 이산화탄소를 배출하는 화석연료의 사용량에 비례하여 부과하는 세금
102,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,102,Carry Forward(이월): 회계 연도에 발생한 결손금이나 세액 공제 혜택 등을 다음 해로 넘겨서 반영하는 것
103,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,103,"Carry Trade(캐리 트레이드): 이자율이 낮은 국가의 통화로 돈을 빌려, 이자율이 높은 국가의 주식이나 채권에 투자하는 기법"
104,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,104,Cartel(카르텔/담합): 동종 산업 내의 기업들이 경쟁을 피하고 이익을 독점하기 위해 가격이나 생산량을 합의하는 불법 행위
105,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,105,"Cash Cow(캐시카우): 성장성은 낮지만, 시장 점유율이 높아 기업에 꾸준하고 확실한 현금을 창출해 주는 효자 사업"
106,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,106,Cash Flow(현금흐름): 기업의 영업 활동이나 재무 활동으로 인해 발생하는 현금의 유입과 유출
107,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,107,Cash Ratio(현금비율): 기업의 유동부채 대비 즉시 사용할 수 있는 현금 및 현금성 자산의 비율
108,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,108,Catch-up Effect(캐치업 효과/수렴 효과): 가난한 나라가 풍부한 자본 투자와 선진국 기술 도입을 통해 선진국보다 더 빠른 속도로 경제 성장을 이루어 격차를 좁히는 현상
109,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,109,"CBDC(Central Bank Digital Currency, 중앙은행 디지털 화폐): 각국 중앙은행이 직접 발행하는 디지털 화폐"
110,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,110,"CDMO(Contract Development & Manufacturing Org, 위탁개발생산): 제약 산업에서 다른 회사의 약을 대신 연구 개발하고 생산해 주는 사업"
111,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,111,Central Bank(중앙은행): 국가의 통화량을 조절하고 기준금리를 결정하며 시중 은행을 감독하는 발권 은행
112,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,112,"Certificate of Deposit(CD, 양도성예금증서): 은행이 자금 조달을 위해 발행하는 정기예금 증서로, 타인에게 자유롭게 양도하고 팔 수 있는 단기 금융 상품"
113,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,113,"Ceteris Paribus(세테리스 파리부스): 경제학에서 인과관계를 분석할 때 ""다른 모든 조건이 동일하다면""이라는 뜻으로 쓰이는 라틴어 가설"
114,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,114,"Chaebol(재벌): 한국 경제의 특수한 형태로, 창업주 일가가 거대한 자본력을 바탕으로 여러 산업 분야의 다수 기업을 지배하는 대규모 기업 집단"
115,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,115,Chapter 11(기업 회생 절차): 파산 위기에 처한 미국 기업이 법원의 감독하에 채무를 유예받고 구조조정을 통해 회생을 시도하는 파산법 규정
116,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,116,"Chapter 7(청산 파산): 기업이 회생할 가망이 없을 때, 법원의 명령으로 모든 자산을 매각하여 채권자들에게 나누어 주고 회사를 완전히 소멸시키는 미국 파산법 규정"
117,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,117,Cherry Picker(체리 피커): 신용카드 등의 혜택만 쏙 빼먹고 정작 실속 있는 구매는 하지 않는 얌체 소비자
118,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,118,Churn Rate(이탈률): 일정 기간 서비스를 해지하거나 경쟁사로 떠나버린 고객의 비율
119,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,119,Classical Economics(고전파 경제학): 애덤 스미스 이래 시장의 자동 조절 기능(보이지 않는 손)을 신뢰하고 정부 개입을 반대하는 경제학파
120,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,120,Clearing House(청산소): 주식이나 선물 거래 시 매수자와 매도자 사이에서 대금 결제와 자산 인도가 안전하게 이루어지도록 보증하는 기관
121,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,121,"CMA(Cash Management Account, 종합 자산관리계좌): 증권사가 고객 예탁금을 단기 금융 상품으로 운용해 매일 이자를 주는 계좌"
122,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,122,Collateral(담보): 대출을 받을 때 돈을 갚지 못할 경우를 대비해 채권자에게 맡겨두는 자산
123,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,123,"Collateralized Debt Obligation(CDO, 부채담보부증권): 주택담보대출, 회사채 등 다양한 부채를 묶어 위험도를 쪼갠 뒤 이를 담보로 새롭게 발행한 복잡한 파생 금융 상품 (2008년 금융위기의 주범)"
124,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,124,Commercial Bank(상업 은행): 일반 개인이나 기업을 대상으로 예금을 받고 대출을 해주며 이자 수익을 창출하는 전통적인 은행
125,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,125,"Commercial Paper(CP, 기업어음): 신용도가 높은 기업이 단기 자금을 조달하기 위해 담보 없이 발행하는 단기 약속어음"
126,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,126,"Commodity Money(물품 화폐): 금, 은, 소금, 비단 등 그 자체로도 일정한 사용 가치나 내재 가치를 지니고 있으면서 교환의 매개수단으로 쓰이는 화폐"
127,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,127,"Commodity(원자재/상품): 금, 원유, 곡물처럼 품질이 균일하여 국제 시장에서 대량으로 거래되는 기초 자산"
128,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,128,"Common Market(공동 시장): 회원국 간의 관세 철폐를 넘어, 노동력과 자본 같은 생산 요소까지 국가 간에 자유롭게 이동할 수 있도록 통합된 고도의 경제 블록"
129,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,129,Comparative Advantage(비교우위): 한 국가나 기업이 다른 대상보다 상대적으로 더 적은 기회비용으로 특정 재화를 생산할 수 있는 능력
130,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,130,"Comparative Statics(비교 정태 분석): 경제학에서 외부 조건이 변했을 때, 변화 전의 초기 균형 상태와 변화 후의 새로운 균형 상태만을 비교 분석하는 방법"
131,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,131,"Compliance(컴플라이언스/준법 감시): 기업이 경영 활동 시 법령, 윤리, 내부 규정을 엄격하게 준수하도록 감독하는 시스템"
132,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,132,Compound Interest(복리): 원금에 붙은 이자에 다시 또 이자가 붙어 눈덩이처럼 자산이 기하급수적으로 불어나는 이자 계산 방식
133,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,133,Consensus(컨센서스): 애널리스트들이 추정한 특정 기업의 실적 전망치의 평균
134,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,134,"Consumer Confidence Index(CCI, 소비자신뢰지수): 일반 소비자들이 현재와 미래의 경제 상태, 고용, 수입에 대해 얼마나 낙관적이거나 비관적으로 느끼는지를 설문조사하여 지수화한 지표"
135,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,135,Consumer Surplus(소비자 잉여): 소비자가 어떤 재화를 구입하기 위해 지불할 용의가 있는 최대 금액에서 실제 지불한 금액을 뺀 이익
136,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,136,Contagion(전염 효과): 한 국가의 금융위기나 혼란이 이웃 국가나 전 세계 금융 시장으로 빠르게 퍼져나가는 현상
137,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,137,"Contractionary Policy(긴축 정책): 경제가 과열되어 인플레이션이 심해질 때, 정부가 세금을 올리고 중앙은행이 금리를 높여 시중의 돈줄을 조이는 경제 정책"
138,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,138,"Core Inflation(근원물가상승률): 일시적 외부 충격에 가격이 급등락하는 농산물과 국제 원유 등을 제외하고, 경제의 기초적인 물가 흐름을 보여주는 물가 지수"
139,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,139,Corporate Bond(회사채): 주식회사가 일반 대중에게 자금을 빌리기 위해 이자와 원금 상환을 약속하고 발행하는 채권
140,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,140,"Corporate Governance(기업 지배구조): 기업을 경영하고 통제하는 주주, 경영진, 이사회 간의 권력 분배와 의사결정 체계"
141,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,141,Correction(조정): 주식시장에서 장기적인 상승 추세 중에 주가가 일시적으로 하락하는 현상
142,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,142,Cost of Capital(자본 비용): 기업이 주식이나 채권을 통해 자금을 조달할 때 투자자들에게 지불해야 하는 배당금이나 이자 등의 비용
